waveform	Ch0		Gen	
t0	04.02.2020  15:03:26,447537		04.02.2020  15:03:26,447541	
delta t	8,000000E-6		8,000000E-6	

time[0]	Ch0	time[1]	Gen
04.02.2020  15:03:26,449609	3,864083E+0	04.02.2020  15:03:26,449613	-3,665320E-4
04.02.2020  15:03:26,449617	3,849572E+0	04.02.2020  15:03:26,449621	-3,665320E-4
04.02.2020  15:03:26,449625	3,833127E+0	04.02.2020  15:03:26,449629	-6,889837E-4
04.02.2020  15:03:26,449633	3,821196E+0	04.02.2020  15:03:26,449637	-3,665320E-4
04.02.2020  15:03:26,449641	3,801204E+0	04.02.2020  15:03:26,449645	-3,665320E-4
04.02.2020  15:03:26,449649	3,786048E+0	04.02.2020  15:03:26,449653	-6,889837E-4
04.02.2020  15:03:26,449657	3,769925E+0	04.02.2020  15:03:26,449661	-6,889837E-4
04.02.2020  15:03:26,449665	3,750256E+0	04.02.2020  15:03:26,449669	-3,665320E-4
04.02.2020  15:03:26,449673	3,734778E+0	04.02.2020  15:03:26,449677	-3,665320E-4
04.02.2020  15:03:26,449681	3,719622E+0	04.02.2020  15:03:26,449685	-6,889837E-4
04.02.2020  15:03:26,449689	3,707046E+0	04.02.2020  15:03:26,449693	-6,889837E-4
04.02.2020  15:03:26,449697	3,685119E+0	04.02.2020  15:03:26,449701	-4,408025E-5
04.02.2020  15:03:26,449705	3,672866E+0	04.02.2020  15:03:26,449709	-6,889837E-4
04.02.2020  15:03:26,449713	3,658033E+0	04.02.2020  15:03:26,449717	-3,665320E-4
04.02.2020  15:03:26,449721	3,637396E+0	04.02.2020  15:03:26,449725	-1,011435E-3
04.02.2020  15:03:26,449729	3,624175E+0	04.02.2020  15:03:26,449733	-6,889837E-4
04.02.2020  15:03:26,449737	3,608375E+0	04.02.2020  15:03:26,449741	-4,408025E-5
04.02.2020  15:03:26,449745	3,597089E+0	04.02.2020  15:03:26,449749	-4,408025E-5
